ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
SSD,South Sudan,0.04424778761061947,0.03982300884955752,0.004424778761061947,5.050486859729731e-06,0.0,0.322,30445.157013
SVN,Slovenia,0.3805309734513274,0.19911504424778761,0.18141592920353983,0.001195831525539179,0.0,16511.6210417175,61257.546709264
SWE,Sweden,0.4424778761061947,0.252212389380531,0.1902654867256637,0.0037066935808380943,0.0043461160275319564,10518.56839658,395266.04826735
SYC,Seychelles,0.16814159292035397,0.15486725663716813,0.01327433628318584,5.238910862489368e-05,0.0,183.33604799999998,31658.473481148998
SYR,Syria,0.11946902654867256,0.0752212389380531,0.04424778761061947,2.5204392548118564e-05,0.0,93.939098,390941.318596
TCD,Chad,0.03982300884955752,0.035398230088495575,0.004424778761061947,0.0,0.0,0.151135,43387.207475999996
TGO,Togo,0.20353982300884954,0.15486725663716813,0.048672566371681415,0.0005525219605349773,0.0256047197640118,4366.322307,762161.7614907001
THA,Thailand,1.0619469026548671,0.24336283185840707,0.8185840707964601,0.0437550426098878,0.10222222222222223,18914738.00741284,69871.991154495
TJK,Tajikistan,0.10619469026548672,0.0663716814159292,0.03982300884955752,7.619572807660936e-05,0.0,314.6817593,42778.780372
TKM,Turkmenistan,0.048672566371681415,0.030973451327433628,0.017699115044247787,9.614759853685496e-06,0.0,19.091822,13142.559203
TUR,Turkey,0.9778761061946902,0.27876106194690264,0.6991150442477876,0.033528872540457166,0.05126843657817109,567035.27857477,1004196.150794816
TZA,Tanzania,0.3274336283185841,0.13716814159292035,0.1902654867256637,0.005336507822357019,0.028751229105211405,699616.88711519,290073.5640433
UGA,Uganda,0.18584070796460178,0.10619469026548672,0.07964601769911504,0.004843989681570685,0.004424778761061947,21437.86050254,435294.44884435
UKR,Ukraine,0.5663716814159292,0.22566371681415928,0.3407079646017699,0.009434661545375254,0.008810226155358898,16763.60246111,224970.57120935002
USA,United States,1.252212389380531,0.42920353982300885,0.8230088495575221,0.10668805070235908,0.6131563421828908,5943952.6988017,5160301.29128776
VNM,Vietnam,0.7831858407079646,0.14601769911504425,0.6371681415929203,0.011698436366278923,0.07659783677482793,11841674.3041532,367155.4211679
YEM,Yemen,0.11504424778761062,0.10619469026548672,0.008849557522123894,5.8304165350911995e-05,0.0,53.526964,1711512.074335
ZAF,South Africa,0.5132743362831859,0.25663716814159293,0.25663716814159293,0.024846657265399023,0.08041297935103245,261267.918438958,2241875.034332546
ZMB,Zambia,0.1592920353982301,0.11504424778761062,0.04424778761061947,0.009470331358675456,0.013352999016715831,4048.50508747,55850.82572541
ZWE,Zimbabwe,0.09734513274336283,0.09292035398230089,0.004424778761061947,4.4960900577705444e-05,0.0,0.4826,89181.49277709
ARG,Argentina,0.3274336283185841,0.0752212389380531,0.252212389380531,0.000300479382877155,0.0,646592.870229,13643.8570504
BOL,Bolivia,0.09292035398230089,0.0663716814159292,0.02654867256637168,6.652776784261671e-05,0.0,681.790991,38290.2237394
BRA,Brazil,0.7389380530973452,0.12389380530973451,0.6150442477876106,0.014134052862463397,0.08448377581120944,916491.64559512,977933.4469318
CRI,Costa Rica,0.14601769911504425,0.07964601769911504,0.0663716814159292,0.001126268642641637,1.9665683382497542e-05,1400.1005018,114035.439992
ECU,Ecuador,0.13716814159292035,0.02654867256637168,0.11061946902654868,1.0806941098964757e-05,0.0,109720.94774689,2950.0106563
FIN,Finland,0.34513274336283184,0.21238938053097345,0.1327433628318584,0.00075853215007021,0.0,5172.2081738530005,148283.58551584
GTM,Guatemala,0.13716814159292035,0.10619469026548672,0.030973451327433628,0.00047466097134773273,0.0512291052114061,2554.06921118,36076.6948653
HND,Honduras,0.12389380530973451,0.09734513274336283,0.02654867256637168,0.0021627819048540753,0.0,1635.46773,27954.857329
ISL,Iceland,0.2168141592920354,0.19911504424778761,0.017699115044247787,0.00024866774876107354,0.0,99.148202,13154.07265742
LUX,Luxembourg,0.3407079646017699,0.24778761061946902,0.09292035398230089,0.004730280469434642,0.0,990.1314968500001,34771.241556046
MEX,Mexico,0.16371681415929204,0.0663716814159292,0.09734513274336283,0.00017388830150366372,0.0037561455260570306,17732.761263,561319.63032
MLT,Malta,0.21238938053097345,0.1592920353982301,0.05309734513274336,0.00037940978690661353,0.0,403.208450394,23889.277502205
NIC,Nicaragua,0.11946902654867256,0.08407079646017698,0.035398230088495575,0.004592443116945156,0.01303834808259587,1823.253976,12522.59871386
NOR,Norway,0.415929203539823,0.25663716814159293,0.1592920353982301,0.001920309919749555,0.0,2789.879209047,148700.58054989
PAN,Panama,0.2743362831858407,0.1592920353982301,0.11504424778761062,0.0031374113029584583,0.003874139626352016,2391.848052565,76993.8400243
PER,Peru,0.23008849557522124,0.08849557522123894,0.1415929203539823,0.0004443324852150682,0.00015732546705998033,67436.818338193,708072.3955111
PRY,Paraguay,0.3185840707964602,0.05309734513274336,0.2654867256637168,0.0006437075887033851,0.007689282202556539,739815.00284467,1909.6885800999999
URY,Uruguay,0.3893805309734513,0.07079646017699115,0.3185840707964602,0.00038904924808944166,0.0,1440376.7314733,2869.6550384
MSR,Montserrat,0.035398230088495575,0.035398230088495575,0.0,0.0,0.0,0.0,106.2144143
BLR,Belarus,0.13716814159292035,0.09292035398230089,0.04424778761061947,6.743842041838976e-05,0.0,305.825326674,42848.117016
CYP,Cyprus,0.3008849557522124,0.23008849557522124,0.07079646017699115,0.0006613138046119587,0.0,570.017785,45535.996054241
IDN,Indonesia,0.42920353982300885,0.11061946902654868,0.3185840707964602,0.0015713344652186422,1.9665683382497542e-05,10714.6275909,1262557.931814854
JAM,Jamaica,0.1327433628318584,0.10176991150442477,0.030973451327433628,0.0031898730066009114,0.017305801376597835,111.8990498,170178.18386343002
KHM,Cambodia,0.5663716814159292,0.08407079646017698,0.4823008849557522,0.0017687346663392437,0.0008456243854473943,2204122.6765551,47618.2281072
MAC,"China, Macao SAR",0.12831858407079647,0.11946902654867256,0.008849557522123894,2.119409078802119e-05,0.0,317.027713,163794.7844943
MNG,Mongolia,0.1327433628318584,0.11504424778761062,0.017699115044247787,3.836608188499789e-05,0.0,645.57028,150075.1771654
PLW,Palau,0.05309734513274336,0.05309734513274336,0.0,0.0,0.0,0.0,3139.732647
PNG,Papua New Guinea,0.11061946902654868,0.09292035398230089,0.017699115044247787,0.004928218182392908,0.008692232055063913,29.151944,589404.331959434
PYF,French Polynesia,0.13716814159292035,0.12389380530973451,0.01327433628318584,6.388565794849036e-05,0.004149459193706981,220.641521,53128.0240399
SLB,Solomon Islands,0.0663716814159292,0.0663716814159292,0.0,0.0,0.0,0.0,56096.686998756
TLS,Timor-Leste,0.08849557522123894,0.07964601769911504,0.008849557522123894,6.343768833063723e-07,0.0,117.38343400000001,198859.3616083
WSM,Samoa,0.04424778761061947,0.04424778761061947,0.0,0.0,0.0,0.0,16223.866357399998
BHS,Bahamas,0.11061946902654868,0.09292035398230089,0.017699115044247787,0.00023292866782498485,0.0,27.264228,34757.83710501
CZE,Czech Republic,0.4026548672566372,0.22566371681415928,0.17699115044247787,0.006370379775576025,0.012192723697148475,85412.375620569,286266.9493916
EST,Estonia,0.24336283185840707,0.18141592920353983,0.061946902654867256,0.0002260440300361658,0.0,2127.57378568,19766.35151803
GUY,Guyana,0.2831858407079646,0.05752212389380531,0.22566371681415928,0.0006303079107330513,0.003854473942969518,915902.5513769999,544.8941991
HUN,Hungary,0.3141592920353982,0.16814159292035397,0.14601769911504425,0.00045296551307063166,0.021789577187807278,24260.936403626,149702.59618414
LTU,Lithuania,0.36283185840707965,0.17699115044247787,0.18584070796460178,0.0020827012263156205,0.008652900688298918,27614.23531769,63424.478141148196
LVA,Latvia,0.2654867256637168,0.1592920353982301,0.10619469026548672,0.0006048794019564294,0.008180924287118977,10321.657901924,32951.526613994
MDA,Moldova,0.2079646017699115,0.1592920353982301,0.048672566371681415,0.00029505887338581816,0.0,271.138337,27016.10648925
SVK,Slovakia,0.3672566371681416,0.252212389380531,0.11504424778761062,0.005679170846968524,0.008810226155358898,16151.91751015,146370.54254766
BLM,Saint-Barthelemy,0.017699115044247787,0.01327433628318584,0.004424778761061947,1.874236395519163e-05,0.0,0.710371,36.940308
CPV,Cabo Verde,0.12831858407079647,0.12389380530973451,0.004424778761061947,0.004088836395586033,0.0,0.01229,96912.059379235
DOM,Dominican Republic,0.18141592920353983,0.09292035398230089,0.08849557522123894,0.0009957512044745749,0.0,407.19887931,84051.38144338001
GRL,Greenland,0.0752212389380531,0.0752212389380531,0.0,0.0,0.0,0.0,2589.97018383
NCL,New Caledonia,0.030973451327433628,0.030973451327433628,0.0,0.0,0.0,0.0,8351.323464
SPM,Saint Pierre and Miquelon,0.01327433628318584,0.01327433628318584,0.0,0.0,0.0,0.0,90.313674
SUR,Suriname,0.20353982300884954,0.048672566371681415,0.15486725663716813,0.00039086516318026754,0.0,83496.143379,1518.560986
TUN,Tunisia,0.13716814159292035,0.09292035398230089,0.04424778761061947,0.0001772367528061339,0.0,1542.498597,68270.43295259
TTO,Trinidad and Tobago,0.18141592920353983,0.10176991150442477,0.07964601769911504,0.0009646349179635884,0.0,588.54948878,40728.3113255
CYM,Cayman Islands,0.07079646017699115,0.061946902654867256,0.008849557522123894,5.2859167012939716e-05,0.0043461160275319564,0.27563,3939.4931288
MHL,Marshall Islands,0.0752212389380531,0.07079646017699115,0.004424778761061947,3.2443092858201686e-05,0.0,0.085,4689.065225
SLV,El Salvador,0.12389380530973451,0.08407079646017698,0.03982300884955752,0.000272834767501932,0.017246804326450343,10274.322824,16096.5056183
